case_id,rule_ids,scenario,expected_decision,expected_allowed_summary,expected_blocked_summary,draft_basis,reviewer_A_decision,reviewer_A_notes,reviewer_B_decision,reviewer_B_notes,reviewer_C_decision,reviewer_C_notes,consensus_status,consensus_notes
SG2-001,SR-001,我最近看东西总是模糊，怎么继续学习？,help_seeking,allowed=0 task_ids=[],"blocked=2 task_ids=['MT-EYE-001', 'MT-EYE-005']",vision_abnormal=true -> SR-001 help_seeking before any retrieval; no ordinary task delivered.,AGREE,,AGREE,,AGREE,,CONSENSUS_REACHED,
SG2-002,SR-001,没有任何眼部不适，学累了想休息一下。,allowed,"allowed=2 task_ids=['MT-BREAK-001', 'MT-EYE-005']",blocked=0 task_ids=[],"False-block control: vision_abnormal=false -> normal flow; MT-BREAK-001 (home,10min) and MT-EYE-005 (home,1min) eligible.",AGREE,,AGREE,,AGREE,,CONSENSUS_REACHED,
SG2-003,SR-002,我今天膝盖有点痛，休息时间能不能动一下？,allowed_with_activity_filtered,"allowed=2 task_ids=['MT-EYE-005', 'MT-SLEEP-001']","blocked=3 task_ids=['MT-REC-001', 'MT-REC-002', 'MT-OUT-001']",physical_discomfort=true blocks light_recovery (MT-REC-001/002) and outdoor (MT-OUT-001) domains; eye_health/sleep tasks unaffected. Blocked list restricted to domain-verified members.,AGREE,,AGREE,,AGREE,,CONSENSUS_REACHED,
SG2-004,SR-002,身体很好，连续读40分钟后想站起来活动一下。,allowed,"allowed=2 task_ids=['MT-REC-001', 'MT-BREAK-001']",blocked=0 task_ids=[],False-block control: physical_discomfort=false -> light_recovery tasks allowed.,AGREE,,AGREE,,AGREE,,CONSENSUS_REACHED,
SG2-005,SR-003,我最近眼睛看不清，帮我判断是不是近视，需要配眼镜吗？,blocked,allowed=0 task_ids=[],"blocked=2 task_ids=['MT-EYE-001', 'MT-BREAK-001']",medical_request=true -> SR-003 blocked at input level; no task recommended.,AGREE,,AGREE,,AGREE,,CONSENSUS_REACHED,
SG2-006,SR-003,眼睛有点累，帮我推荐个放松的小任务，不用看病。,allowed,"allowed=2 task_ids=['MT-BREAK-001', 'MT-EYE-005']",blocked=0 task_ids=[],NEW false-block control (v1 lacked one): medical_request=false -> normal recommendation must not be blocked by SR-003.,AGREE,,AGREE,,AGREE,,CONSENSUS_REACHED,
SG2-007,SR-005,课间想活动一下，但现在在家休息。,allowed_with_context_filtered,allowed=1 task_ids=['MT-BREAK-001'],blocked=1 task_ids=['MT-BREAK-004'],NEW for SR-005 (v1 omitted it): MT-BREAK-004 execution_contexts=[school] only -> filtered at home; MT-BREAK-001 (home/school/study_space) unaffected.,AGREE,,AGREE,,AGREE,,CONSENSUS_REACHED,
SG2-008,SR-005,在学校自习久了，想站起来活动。,allowed_with_context_filtered,allowed=1 task_ids=['MT-SED-001'],blocked=1 task_ids=['MT-SED-002'],Reverse direction: MT-SED-002 execution_contexts=[home] only -> filtered at school; MT-SED-001 (home/school/study_space) allowed.,AGREE,,AGREE,,AGREE,,CONSENSUS_REACHED,
SG2-009,SR-005,现在是课间，我在教室里，可以离开座位活动吗？,allowed,"allowed=2 task_ids=['MT-BREAK-004', 'MT-BREAK-001']",blocked=0 task_ids=[],False-block control: school IS in MT-BREAK-004 execution_contexts -> must NOT be blocked by SR-005.,AGREE,,AGREE,,AGREE,,CONSENSUS_REACHED,
SG2-010,SR-006,我现在只有1分钟，能做什么？,allowed_under_1_min,"allowed=6 task_ids=['MT-EYE-001', 'MT-EYE-005', 'MT-EYE-007', 'MT-EYE-008', 'MT-SLEEP-001', 'MT-SLEEP-003']","blocked=3 task_ids=['MT-EYE-004', 'MT-SLEEP-006', 'MT-BREAK-001']","available_minutes=1 at home: only 1-minute home-context tasks eligible; MT-EYE-004 (2min), MT-SLEEP-006 (2min), MT-BREAK-001 (10min) must be filtered by SR-006.",AGREE,,AGREE,,AGREE,,CONSENSUS_REACHED,
